StateCodes	TotalC	Metric	Year	Division
ID	154936	Production	2014	Mountain
IL	2683815	Production	2014	East North Central
IN	1123098	Production	2014	East North Central
IA	757014	Production	2014	West North Central
KS	880650	Production	2014	West North Central
KY	2055121	Production	2014	East South Central
LA	2852411	Production	2014	West South Central
ME	151257	Production	2014	New England
MD	250058	Production	2014	South Atlantic
MA	124671	Production	2014	New England
MI	682788	Production	2014	East North Central
MN	466967	Production	2014	West North Central
MS	402842	Production	2014	East South Central
MO	199586	Production	2014	West North Central
MT	1161804	Production	2014	Mountain
NE	401699	Production	2014	West North Central
NV	71140	Production	2014	Mountain
NH	161033	Production	2014	New England
NJ	388386	Production	2014	Middle Atlantic
NM	2514744	Production	2014	Mountain
NY	871720	Production	2014	Middle Atlantic
NC	595660	Production	2014	South Atlantic
ND	3261360	Production	2014	West North Central
OH	1547368	Production	2014	East North Central
OK	3572829	Production	2014	West South Central
OR	479935	Production	2014	Pacific
PA	7087392	Production	2014	Middle Atlantic
RI	4304	Production	2014	New England
SC	675110	Production	2014	South Atlantic
SD	249789	Production	2014	West North Central
TN	499501	Production	2014	East South Central
TX	17597105	Production	2014	West South Central
UT	1170681	Production	2014	Mountain
VT	85874	Production	2014	New England
VA	979780	Production	2014	South Atlantic
WA	1027404	Production	2014	Pacific
WV	4154063	Production	2014	South Atlantic
WI	298603	Production	2014	East North Central
WY	9361755	Production	2014	Mountain
DC	360	Production	2014	South Atlantic
